title,type,speaker,dialogue_raw,dialogue_clean,stage_direction_inline,scene_note_inline,stage_direction_only,scene_note_only,season,episode
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,"I told mom and dad last night, they seemed to take it pretty well.","I told mom and dad last night, they seemed to take it pretty well.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what?  A wrong number?","Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what?  A wrong number?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,Sorry.,Sorry.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?","Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,stage_direction,,,,,,Ross gestures his consent.,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,"Strip joint! C'mon, you're single! Have some hormones!","Strip joint! C'mon, you're single! Have some hormones!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,"I don't want to be single, okay? I just... I just- I just wanna be married again!","I don't want to be single, okay? I just... I just- I just wanna be married again!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,stage_direction,,,,,,Rachel enters in a wet wedding dress and starts to search the room.,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,And I just want a million dollars! (He extends his hand hopefully.),And I just want a million dollars!,(He extends his hand hopefully.),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,Rachel?!,Rachel?!,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,RACHEL,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!","Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,WAITRESS,Can I get you some coffee?,Can I get you some coffee?,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"(pointing at Rachel) De-caff. (to All) Okay, everybody, this is Rachel, another Lincoln High survivor. (to Rachel) This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?","De-caff.  Okay, everybody, this is Rachel, another Lincoln High survivor.  This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?",(pointing at Rachel) | (to All) | (to Rachel),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,RACHEL,"Hi, sure!","Hi, sure!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,Hi.,Hi.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,stage_direction,,,,,,They go to hug but Ross's umbrella opens.  He sits back down defeated again.  A moment of silence follows as Rachel sits and the others expect her to explain.,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"So you wanna tell us now, or are we waiting for four wet bridesmaids?","So you wanna tell us now, or are we waiting for four wet bridesmaids?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,RACHEL,"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- (to the waitress that brought her coffee)Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. (to Monica) So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.","Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'.  So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",(to the waitress that brought her coffee) | (to Monica),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,Who wasn't invited to the wedding.,Who wasn't invited to the wedding.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,RACHEL,"Ooh, I was kinda hoping that wouldn't be an issue... [Scene: Monica's Apartment, everyone is there and watching a Spanish Soap on TV and are trying to figure out what is going on.]","Ooh, I was kinda hoping that wouldn't be an issue...",,"Scene: Monica's Apartment, everyone is there and watching a Spanish Soap on TV and are trying to figure out what is going on.",,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.","Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,(imitating the characters) Tuna or egg salad?  Decide!,Tuna or egg salad?  Decide!,(imitating the characters),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,(in a deep voice) I'll have whatever Christine is having.,I'll have whatever Christine is having.,(in a deep voice),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,RACHEL,"(on phone) Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!","Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",(on phone),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,stage_direction,,,,,,"The scene on TV has changed to show two women, one is holding her hair.",,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PHOEBE,"If I let go of my hair, my head will fall off.","If I let go of my hair, my head will fall off.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,"(re TV) Ooh, she should not be wearing those pants.","Ooh, she should not be wearing those pants.",(re TV),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,I say push her down the stairs.,I say push her down the stairs.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,"PHOEBE, ROSS, CHANDLER, JOEY",Push her down the stairs! Push her down the stairs! Push her down the stairs!,Push her down the stairs! Push her down the stairs! Push her down the stairs!,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,stage_direction,,,,,,She is pushed down the stairs and everyone cheers.,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,RACHEL,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!","C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,You can see where he'd have trouble.,You can see where he'd have trouble.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,RACHEL,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica.","Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Well, I guess we've established who's staying here with Monica...","Well, I guess we've established who's staying here with Monica...",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,RACHEL,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!","Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,scene_note,,,,,,,"Time Lapse, Rachel is breating into a paper bag.",1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Just breathe, breathe.. that's it. Just try to think of nice calm things...","Just breathe, breathe.. that's it. Just try to think of nice calm things...",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PHOEBE,"(sings) Raindrops on roses and rabbits and kittens, (Rachel and Monica turn to look at her.) bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few...","Raindrops on roses and rabbits and kittens,  bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string.  These are a few...",(sings) | (Rachel and Monica turn to look at her.),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,RACHEL,I'm all better now.,I'm all better now.,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PHOEBE,(grins and walks to the kitchen and says to Chandler and Joey.) I helped!,I helped!,(grins and walks to the kitchen and says to Chandler and Joey.),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.  The whole, 'hat' thing.","Okay, look, this is probably for the best, y'know? Independence. Taking control of your life.  The whole, 'hat' thing.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,"(comforting her) And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.","And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",(comforting her),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Joey, stop hitting on her! It's her wedding day!","Joey, stop hitting on her! It's her wedding day!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,"What, like there's a rule or something?","What, like there's a rule or something?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,stage_direction,,,,,,The door buzzer sounds and Chandler gets it.,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,"Please don't do that again, it's a horrible sound.","Please don't do that again, it's a horrible sound.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PAUL,"(over the intercom) It's, uh, it's Paul.","It's, uh, it's Paul.",(over the intercom),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Oh God, is it 6:30?  Buzz him in!","Oh God, is it 6:30?  Buzz him in!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,JOEY,Who's Paul?,Who's Paul?,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,"Paul the Wine Guy, Paul?","Paul the Wine Guy, Paul?",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,He finally asked you out?,He finally asked you out?,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,Yes!,Yes!,,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,CHANDLER,"Ooh, this is a Dear Diary moment.","Ooh, this is a Dear Diary moment.",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"Rach, wait, I can cancel...","Rach, wait, I can cancel...",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,RACHEL,"Please, no, go, that'd be fine!","Please, no, go, that'd be fine!",,,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,"(to Ross) Are, are you okay? I mean, do you want me to stay?","Are, are you okay? I mean, do you want me to stay?",(to Ross),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,(choked voice) That'd be good...,That'd be good...,(choked voice),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,MONICA,(horrified) Really?,Really?,(horrified),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,ROSS,"(normal voice) No, go on! It's Paul the Wine Guy!","No, go on! It's Paul the Wine Guy!",(normal voice),,,,1,1
The One Where Monica Gets a Roommate: The Pilot,dialogue,PHOEBE,"What does that mean?   Does he sell it, drink it, or just complain a lot? (Chandler doesn't know.)","What does that mean?   Does he sell it, drink it, or just complain a lot?",(Chandler doesn't know.),,,,1,1
