year,season,episode,title,director,stars,Votes,writers,Central Perk,City spaces,Hallways,Hospitals,Jobs,Main apartments,Other lodging,Social Life,Transport
1995,2,8,The One with the List,Mary Kay Place,8.5,3581,"['David Crane', 'Marta Kauffman']",0.15384615384615385,0.0,0.0,0.0,0.23076923076923078,0.6153846153846154,0.0,0.0,0.0
1995,2,9,The One with Phoebe's Dad,Kevin Bright,8.0,3444,"['Mike Sikowitz', 'Jeff Astrof']",0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.5833333333333334,0.25,0.0,0.0
1996,2,10,The One with Russ,Thomas Schlamme,8.0,3591,['Ira Ungerleider'],0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.4444444444444444,0.0,0.1111111111111111,0.0
1996,2,11,The One with the Lesbian Wedding,Thomas Schlamme,8.1,3524,['Doty Abrams'],0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0
1996,2,12,The One After the Superbowl: Part 1,Michael Lembeck,8.6,3723,"['Mike Sikowitz', 'Jeff Astrof', 'Michael Borkow']",0.21428571428571427,0.21428571428571427,0.0,0.0,0.0,0.21428571428571427,0.0,0.35714285714285715,0.0
1996,2,13,The One After the Superbowl: Part 2,Michael Lembeck,8.8,3864,"['Mike Sikowitz', 'Jeff Astrof', 'Michael Borkow']",0.14285714285714285,0.21428571428571427,0.0,0.0,0.21428571428571427,0.2857142857142857,0.0,0.14285714285714285,0.0
1996,2,14,The One with the Prom Video,James Burrows,9.4,5736,['Alexa Junge'],0.2727272727272727,0.0,0.0,0.0,0.09090909090909091,0.6363636363636364,0.0,0.0,0.0
1996,2,15,The One Where Ross and Rachel... You Know,Michael Lembeck,8.9,3928,"['Greg Malins', 'Michael Curtis']",0.0,0.0,0.0,0.06666666666666667,0.26666666666666666,0.5333333333333333,0.13333333333333333,0.0,0.0
1996,2,16,The One Where Joey Moves Out,Michael Lembeck,8.6,3435,['Betsy Borns'],0.0,0.125,0.0,0.0,0.0,0.4375,0.1875,0.25,0.0
1996,2,17,The One Where Eddie Moves In,Michael Lembeck,8.3,3407,['Adam Chase'],0.26666666666666666,0.0,0.0,0.0,0.06666666666666667,0.5333333333333333,0.13333333333333333,0.0,0.0
1996,2,18,The One Where Dr. Ramoray Dies,Michael Lembeck,8.5,3403,"['Michael Borkow', 'Alexa Junge']",0.13333333333333333,0.0,0.0,0.0,0.06666666666666667,0.4666666666666667,0.3333333333333333,0.0,0.0
1996,2,19,The One Where Eddie Won't Go,Michael Lembeck,8.6,3495,"['Greg Malins', 'Michael Curtis']",0.26666666666666666,0.0,0.06666666666666667,0.0,0.13333333333333333,0.5333333333333333,0.0,0.0,0.0
1996,2,20,The One Where Old Yeller Dies,Michael Lembeck,8.2,3295,"['Greg Malins', 'Adam Chase', 'Michael Curtis']",0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
1996,2,21,The One with the Bullies,Michael Lembeck,8.2,3337,"['Brian Buckner', 'Sebastian Jones']",0.3076923076923077,0.0,0.0,0.0,0.0,0.38461538461538464,0.15384615384615385,0.07692307692307693,0.07692307692307693
1996,2,22,The One with the Two Parties,Michael Lembeck,9.0,4151,['Alexa Junge'],0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.0
1996,2,23,The One with the Chicken Pox,Michael Lembeck,8.1,3360,['Brown Mandell'],0.21428571428571427,0.0,0.0,0.0,0.2857142857142857,0.5,0.0,0.0,0.0
1996,2,24,The One with Barry and Mindy's Wedding,Michael Lembeck,8.2,3335,"['Brown Mandell', 'Ira Ungerleider']",0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.3,0.0
1996,3,1,The One with the Princess Leia Fantasy,Gail Mancuso,8.4,3482,"['Greg Malins', 'Michael Curtis']",0.21428571428571427,0.0,0.0,0.0,0.0,0.7857142857142857,0.0,0.0,0.0
1996,3,2,The One Where No One's Ready,Gail Mancuso,9.0,4637,['Ira Ungerleider'],0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
1996,3,3,The One with the Jam,Kevin Bright,8.1,3324,['Wil Calhoun'],0.25,0.08333333333333333,0.0,0.0,0.0,0.5833333333333334,0.0,0.0,0.08333333333333333
1996,3,4,The One with the Metaphorical Tunnel,Steve Zuckerman,8.1,3199,['Alexa Junge'],0.25,0.08333333333333333,0.0,0.0,0.0,0.5833333333333334,0.08333333333333333,0.0,0.0
1996,3,5,The One with Frank Jr.,Steve Zuckerman,8.1,3292,"['Scott Silveri', 'Shana Goldberg-Meehan']",0.26666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.06666666666666667,0.0
