year,season,episode,title,director,stars,Votes,writers,Central Perk,City spaces,Hallways,Hospitals,Jobs,Main apartments,Other lodging,Social Life,Transport
2000,6,12,The One with the Joke,Gary Halvorson,8.1,2829,"['Andrew Reich', 'Shana Goldberg-Meehan', 'Ted Cohen']",0.4166666666666667,0.0,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0
2000,6,13,The One with Rachel's Sister,Gary Halvorson,8.2,2950,"['Ellen Plummer', 'Sherry Bilsing', 'Seth Kurland']",0.45454545454545453,0.0,0.0,0.0,0.0,0.45454545454545453,0.09090909090909091,0.0,0.0
2000,6,14,The One Where Chandler Can't Cry,Kevin Bright,8.6,2996,"['Andrew Reich', 'Ted Cohen']",0.38461538461538464,0.0,0.0,0.0,0.0,0.5384615384615384,0.07692307692307693,0.0,0.0
2000,6,15,The One That Could Have Been,Michael Lembeck,8.5,3097,"['Greg Malins', 'Adam Chase']",0.25,0.08333333333333333,0.0,0.25,0.25,0.0,0.16666666666666666,0.0,0.0
2000,6,16,The One That Could Have Been,Michael Lembeck,8.5,3037,"['David Crane', 'Marta Kauffman']",0.125,0.0,0.0,0.0625,0.3125,0.25,0.25,0.0,0.0
2000,6,17,The One with Unagi,Gary Halvorson,9.1,4180,"['Zachary Rosenblatt', 'Adam Chase']",0.2,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.4,0.06666666666666667,0.06666666666666667,0.0
2000,6,18,The One Where Ross Dates a Student,Gary Halvorson,8.3,2870,['Seth Kurland'],0.1,0.05,0.0,0.0,0.05,0.6,0.15,0.05,0.0
2000,6,19,The One with Joey's Fridge,Ben Weiss,8.3,2920,"['Perry Rein', 'Gigi McCreery', 'Seth Kurland']",0.25,0.0,0.0,0.0,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.0,0.08333333333333333
2000,6,20,The One with Mac and C.H.E.E.S.E.,Kevin Bright,7.4,3096,['Doty Abrams'],0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.75,0.0,0.08333333333333333,0.0
2000,6,21,The One Where Ross Meets Elizabeth's Dad,Michael Lembeck,8.6,3063,"['David J. Lagana', 'Scott Silveri']",0.26666666666666666,0.0,0.0,0.0,0.26666666666666666,0.3333333333333333,0.0,0.13333333333333333,0.0
2000,6,22,The One Where Paul's the Man,Gary Halvorson,9.0,3578,"['Ellen Plummer', 'Sherry Bilsing', 'Brian Caldirola']",0.21428571428571427,0.35714285714285715,0.0,0.0,0.0,0.21428571428571427,0.21428571428571427,0.0,0.0
2000,6,23,The One with the Ring,Gary Halvorson,8.6,2980,"['Andrew Reich', 'Ted Cohen']",0.2,0.2,0.0,0.0,0.0,0.5333333333333333,0.0,0.06666666666666667,0.0
2000,6,24,The One with the Proposal,Kevin Bright,8.8,3065,"['Scott Silveri', 'Shana Goldberg-Meehan']",0.13333333333333333,0.0,0.0,0.0,0.0,0.26666666666666666,0.2,0.4,0.0
2000,6,25,The One with the Proposal,Kevin Bright,9.3,4186,"['Andrew Reich', 'Ted Cohen']",0.25,0.0,0.08333333333333333,0.0,0.0,0.3333333333333333,0.25,0.08333333333333333,0.0
2000,7,1,The One with Monica's Thunder,Kevin Bright,8.4,3022,"['David Crane', 'Marta Kauffman', 'Wil Calhoun']",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2000,7,2,The One with Rachel's Book,Michael Lembeck,8.3,2817,"['Andrew Reich', 'Ted Cohen']",0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.6923076923076923,0.0,0.15384615384615385,0.0
2000,7,3,The One with Phoebe's Cookies,Gary Halvorson,8.1,2803,"['Ellen Plummer', 'Sherry Bilsing']",0.25,0.08333333333333333,0.0,0.0,0.0,0.4166666666666667,0.25,0.0,0.0
2000,7,4,The One with Rachel's Assistant,David Schwimmer,8.1,2820,['Brian Boyle'],0.2,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0
2000,7,5,The One with the Engagement Picture,Gary Halvorson,8.1,2785,"['Earl Davis', 'Patty Lin']",0.375,0.0,0.0,0.0,0.4375,0.1875,0.0,0.0,0.0
2000,7,6,The One with the Nap Partners,Gary Halvorson,8.9,3369,"['Brian Buckner', 'Sebastian Jones']",0.23076923076923078,0.0,0.0,0.0,0.0,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.0
2000,7,7,The One with Ross's Library Book,David Schwimmer,8.5,2856,['Scott Silveri'],0.15384615384615385,0.0,0.0,0.0,0.3076923076923077,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.0
2000,7,8,The One Where Chandler Doesn't Like Dogs,Kevin Bright,8.2,2772,['Patty Lin'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2000,7,9,The One with All the Candy,David Schwimmer,8.1,2753,['Wil Calhoun'],0.3076923076923077,0.0,0.15384615384615385,0.0,0.23076923076923078,0.3076923076923077,0.0,0.0,0.0
2000,7,10,The One with the Holiday Armadillo,Gary Halvorson,8.5,3014,['Greg Malins'],0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.5,0.21428571428571427,0.07142857142857142,0.0
2001,7,11,The One with All the Cheesecakes,Gary Halvorson,8.6,2936,['Shana Goldberg-Meehan'],0.3125,0.0,0.125,0.0,0.0625,0.3125,0.0,0.1875,0.0
2001,7,12,The One Where They're Up All Night,Kevin Bright,8.7,2983,['Zachary Rosenblatt'],0.0,0.0,0.0,0.0,0.15789473684210525,0.8421052631578947,0.0,0.0,0.0
2001,7,13,The One Where Rosita Dies,Stephen Prime,8.4,2819,"['Ellen Plummer', 'Sherry Bilsing', 'Brian Buckner', 'Sebastian Jones']",0.058823529411764705,0.0,0.0,0.0,0.29411764705882354,0.47058823529411764,0.17647058823529413,0.0,0.0
2001,7,14,The One Where They All Turn Thirty,Ben Weiss,8.6,2976,"['Ellen Plummer', 'Vanessa McCarthy', 'Sherry Bilsing']",0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0.7692307692307693,0.0
2001,7,15,The One with Joey's New Brain,Kevin Bright,8.4,2896,"['Ellen Plummer', 'Sherry Bilsing', 'Andrew Reich', 'Ted Cohen']",0.21428571428571427,0.0,0.0,0.0,0.2857142857142857,0.5,0.0,0.0,0.0
2001,7,16,The One with the Truth About London,David Schwimmer,8.7,2961,"['Zachary Rosenblatt', 'Brian Buckner', 'Sebastian Jones']",0.35714285714285715,0.0,0.0,0.0,0.0,0.5,0.14285714285714285,0.0,0.0
2001,7,17,The One with the Cheap Wedding Dress,Kevin Bright,8.4,2758,"['Andrew Reich', 'Brian Buckner', 'Sebastian Jones', 'Ted Cohen']",0.23076923076923078,0.38461538461538464,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0
2001,7,18,The One with Joey's Award,Gary Halvorson,8.4,2793,"['Ellen Plummer', 'Sherry Bilsing', 'Brian Boyle']",0.25,0.0,0.0,0.0,0.25,0.3125,0.0625,0.125,0.0
2001,7,19,The One with Ross and Monica's Cousin,Gary Halvorson,8.7,3155,"['Andrew Reich', 'Ted Cohen']",0.11764705882352941,0.0,0.0,0.0,0.11764705882352941,0.7647058823529411,0.0,0.0,0.0
2001,7,20,The One with Rachel's Big Kiss,Gary Halvorson,8.4,2894,"['Scott Silveri', 'Shana Goldberg-Meehan']",0.18181818181818182,0.0,0.0,0.0,0.18181818181818182,0.45454545454545453,0.0,0.18181818181818182,0.0
2001,7,21,The One with the Vows,Gary Halvorson,7.5,2832,['Doty Abrams'],0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
2001,7,22,The One with Chandler's Dad,Kevin Bright,8.4,2822,"['Greg Malins', 'Brian Buckner', 'Sebastian Jones']",0.35714285714285715,0.07142857142857142,0.0,0.0,0.0,0.2857142857142857,0.0,0.07142857142857142,0.21428571428571427
2001,7,23,The One with Monica and Chandler's Wedding: Part 1,Kevin Bright,8.9,3178,['Greg Malins'],0.15384615384615385,0.0,0.07692307692307693,0.0,0.23076923076923078,0.46153846153846156,0.0,0.07692307692307693,0.0
2001,7,24,The One with Monica and Chandler's Wedding: Part 2,Kevin Bright,9.2,3563,"['David Crane', 'Marta Kauffman']",0.0,0.09090909090909091,0.0,0.0,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.0,0.0
2001,8,1,The One After I Do,Kevin Bright,8.7,3005,"['David Crane', 'Marta Kauffman']",0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.75,0.0
2001,8,2,The One with the Red Sweater,David Schwimmer,9.1,3470,['Dana Klein Borkow'],0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0,0.0,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.0
2001,8,3,The One Where Rachel Tells...,Sheldon Epps,8.7,2858,"['Ellen Plummer', 'Sherry Bilsing']",0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.5454545454545454,0.09090909090909091,0.0,0.18181818181818182
2001,8,4,The One with the Videotape,Kevin Bright,9.3,4114,['Scott Silveri'],0.0,0.0,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,0.0,0.0
2001,8,5,The One with Rachel's Date,Gary Halvorson,8.1,2703,"['Brian Buckner', 'Sebastian Jones']",0.1875,0.0625,0.0,0.0,0.375,0.25,0.125,0.0,0.0
2001,8,6,The One with the Halloween Party,Gary Halvorson,8.5,2969,['Mark J. Kunerth'],0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0
2001,8,7,The One with the Stain,Kevin Bright,7.9,2766,"['R. Lee Fleming, Jr.']",0.125,0.0,0.0625,0.0,0.0,0.5625,0.25,0.0,0.0
2001,8,8,The One with the Stripper,David Schwimmer,8.8,3082,"['Andrew Reich', 'Ted Cohen']",0.15384615384615385,0.0,0.0,0.0,0.0,0.6153846153846154,0.07692307692307693,0.15384615384615385,0.0
2001,8,9,The One with the Rumor,Gary Halvorson,9.3,5291,['Shana Goldberg-Meehan'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2001,8,10,The One with Monica's Boots,Kevin Bright,8.1,2765,"['Robert Carlock', 'Brian Buckner', 'Sebastian Jones']",0.23076923076923078,0.15384615384615385,0.15384615384615385,0.0,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.0,0.0
2001,8,11,The One with Ross's Step Forward,Gary Halvorson,8.0,2636,['Robert Carlock'],0.2857142857142857,0.0,0.0,0.07142857142857142,0.14285714285714285,0.42857142857142855,0.0,0.07142857142857142,0.0
2002,8,12,The One Where Joey Dates Rachel,David Schwimmer,8.5,2871,"['Ellen Plummer', 'Sherry Bilsing']",0.125,0.0,0.0,0.0,0.25,0.5,0.0,0.125,0.0
2002,8,13,The One Where Chandler Takes a Bath,Ben Weiss,8.6,2800,['Vanessa McCarthy'],0.25,0.0,0.0,0.08333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0
2002,8,14,The One with the Secret Closet,Kevin Bright,8.2,2654,"['Brian Buckner', 'Sebastian Jones']",0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,0.6923076923076923,0.0,0.0,0.0
2002,8,15,The One with the Birthing Video,Kevin Bright,8.4,2643,['Dana Klein Borkow'],0.3076923076923077,0.0,0.0,0.0,0.0,0.6923076923076923,0.0,0.0,0.0
2002,8,16,The One Where Joey Tells Rachel,Ben Weiss,8.3,2698,"['Andrew Reich', 'Ted Cohen']",0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.2,0.0
2002,8,17,The One with the Tea Leaves,Gary Halvorson,8.1,2674,"['Steven Rosenhaus', 'R. Lee Fleming, Jr.']",0.07142857142857142,0.14285714285714285,0.07142857142857142,0.0,0.14285714285714285,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.0
2002,8,18,The One in Massapequa,Gary Halvorson,8.2,2699,"['Mark J. Kunerth', 'Peter Tibbals']",0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0
2002,8,19,The One with Joey's Interview,Gary Halvorson,7.5,2804,['Doty Abrams'],0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
2002,8,20,The One with the Baby Shower,Kevin Bright,8.2,2699,"['Ellen Plummer', 'Sherry Bilsing']",0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0
2002,8,21,The One with the Cooking Class,Gary Halvorson,8.2,2690,"['Brian Buckner', 'Sebastian Jones', 'Dana Klein Borkow']",0.14285714285714285,0.07142857142857142,0.0,0.0,0.21428571428571427,0.42857142857142855,0.0,0.14285714285714285,0.0
2002,8,22,The One Where Rachel Is Late,Gary Halvorson,8.3,2662,['Shana Goldberg-Meehan'],0.25,0.0,0.0,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.0,0.08333333333333333,0.0
2002,8,23,The One Where Rachel Has a Baby: Part 1,Kevin Bright,8.8,2906,['Scott Silveri'],0.0,0.0625,0.0625,0.75,0.0,0.0625,0.0625,0.0,0.0
2002,8,24,The One Where Rachel Has a Baby: Part 2,Kevin Bright,8.9,3150,"['David Crane', 'Marta Kauffman']",0.0,0.08333333333333333,0.0,0.6666666666666666,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0
2002,9,1,The One Where No One Proposes,Kevin Bright,8.6,2939,"['Ellen Plummer', 'Sherry Bilsing']",0.0,0.0,0.2727272727272727,0.18181818181818182,0.0,0.5454545454545454,0.0,0.0,0.0
2002,9,2,The One Where Emma Cries,Sheldon Epps,8.5,2957,['Dana Klein Borkow'],0.15384615384615385,0.0,0.0,0.15384615384615385,0.23076923076923078,0.46153846153846156,0.0,0.0,0.0
2002,9,3,The One with the Pediatrician,Roger Christiansen,8.2,2733,"['Brian Buckner', 'Sebastian Jones']",0.1875,0.0,0.0,0.125,0.0,0.5,0.0,0.125,0.0625
2002,9,4,The One with the Sharks,Ben Weiss,8.2,2764,"['Andrew Reich', 'Ted Cohen']",0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0
2002,9,5,The One with Phoebe's Birthday Dinner,David Schwimmer,8.5,2799,['Scott Silveri'],0.08333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.25,0.0
2002,9,6,The One with the Male Nanny,Kevin Bright,8.4,2961,"['David Crane', 'Marta Kauffman']",0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.7894736842105263,0.05263157894736842,0.0,0.0
2002,9,7,The One with Ross's Inappropriate Song,Gary Halvorson,8.7,2971,['Robert Carlock'],0.07692307692307693,0.0,0.0,0.0,0.0,0.5384615384615384,0.38461538461538464,0.0,0.0
2002,9,8,The One with Rachel's Other Sister,Kevin Bright,8.8,3273,['Shana Goldberg-Meehan'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2002,9,9,The One with Rachel's Phone Number,Ben Weiss,8.2,2702,['Mark J. Kunerth'],0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.6153846153846154,0.0,0.15384615384615385,0.0
2002,9,10,The One with Christmas in Tulsa,Kevin Bright,7.5,2804,['Doty Abrams'],0.0625,0.0625,0.0,0.0625,0.0625,0.5,0.25,0.0,0.0
2003,9,11,The One Where Rachel Goes Back to Work,Gary Halvorson,8.0,2601,"['Peter Tibbals', 'Judd Rubin']",0.11764705882352941,0.0,0.0,0.0,0.5294117647058824,0.35294117647058826,0.0,0.0,0.0
2003,9,12,The One with Phoebe's Rats,Ben Weiss,8.0,2688,"['Brian Buckner', 'Sebastian Jones', 'Dana Klein Borkow']",0.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.3333333333333333,0.0
2003,9,13,The One Where Monica Sings,Gary Halvorson,8.2,2685,"['Ellen Plummer', 'Sherry Bilsing']",0.2,0.06666666666666667,0.0,0.0,0.0,0.4666666666666667,0.0,0.26666666666666666,0.0
2003,9,14,The One with the Blind Dates,Gary Halvorson,8.2,2642,"['Ellen Plummer', 'Sherry Bilsing']",0.26666666666666666,0.0,0.0,0.0,0.0,0.4666666666666667,0.0,0.26666666666666666,0.0
2003,9,15,The One with the Mugging,Gary Halvorson,8.3,2670,['Peter Tibbals'],0.2857142857142857,0.07142857142857142,0.0,0.0,0.35714285714285715,0.2857142857142857,0.0,0.0,0.0
2003,9,16,The One with the Boob Job,Gary Halvorson,8.2,2588,['Mark J. Kunerth'],0.15384615384615385,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0,0.0
2003,9,17,The One with the Memorial Service,Gary Halvorson,8.5,2713,"['Robert Carlock', 'Brian Buckner', 'Sebastian Jones']",0.07692307692307693,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0
2003,9,18,The One with the Lottery,Gary Halvorson,8.6,2792,"['Ellen Plummer', 'Sherry Bilsing', 'Brian Buckner', 'Sebastian Jones']",0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2003,9,19,The One with Rachel's Dream,Terry Hughes,8.1,2616,"['Dana Klein Borkow', 'Mark J. Kunerth']",0.14285714285714285,0.0,0.07142857142857142,0.0,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.0
2003,9,20,The One with the Soap Opera Party,Sheldon Epps,8.2,2615,"['Andrew Reich', 'Shana Goldberg-Meehan', 'Ted Cohen']",0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.5384615384615384,0.0,0.3076923076923077,0.0
2003,9,21,The One with the Fertility Test,Gary Halvorson,8.2,2557,"['Robert Carlock', 'Scott Silveri']",0.21428571428571427,0.0,0.0,0.14285714285714285,0.0,0.35714285714285715,0.0,0.2857142857142857,0.0
2003,9,22,The One with the Donor,Ben Weiss,7.8,2635,"['Andrew Reich', 'Ted Cohen']",0.2857142857142857,0.21428571428571427,0.0,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.0,0.0,0.0
2003,9,23,The One in Barbados,Kevin Bright,8.5,2705,"['Scott Silveri', 'Shana Goldberg-Meehan']",0.3333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.5,0.08333333333333333,0.0
2003,9,24,The One in Barbados,Kevin Bright,8.6,2844,"['David Crane', 'Marta Kauffman']",0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.5384615384615384,0.23076923076923078,0.0
2003,10,1,The One After Joey and Rachel Kiss,Kevin Bright,8.5,3113,"['Andrew Reich', 'Ted Cohen']",0.0,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1
2003,10,2,The One Where Ross Is Fine,Ben Weiss,8.8,3366,"['Ellen Plummer', 'Sherry Bilsing']",0.3333333333333333,0.0,0.08333333333333333,0.0,0.0,0.4166666666666667,0.16666666666666666,0.0,0.0
2003,10,3,The One with Ross's Tan,Gary Halvorson,8.8,3277,['Brian Buckner'],0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.6363636363636364,0.0,0.09090909090909091,0.0
2003,10,4,The One with the Cake,Gary Halvorson,8.3,2825,['Dana Klein Borkow'],0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0
2003,10,5,The One Where Rachel's Sister Babysits,Roger Christiansen,8.2,2812,['Dana Klein Borkow'],0.21428571428571427,0.14285714285714285,0.07142857142857142,0.0,0.0,0.5,0.0,0.07142857142857142,0.0
2003,10,6,The One with Ross' Grant,Ben Weiss,8.2,2853,['Sebastian Jones'],0.23529411764705882,0.0,0.0,0.0,0.17647058823529413,0.5294117647058824,0.0,0.058823529411764705,0.0
2003,10,7,The One with the Home Study,Kevin Bright,8.3,2716,['Mark J. Kunerth'],0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0
2003,10,8,The One with the Late Thanksgiving,Gary Halvorson,8.9,3302,['Shana Goldberg-Meehan'],0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.5555555555555556,0.0,0.1111111111111111,0.0
2004,10,9,The One with the Birth Mother,David Schwimmer,8.6,2860,['Scott Silveri'],0.35714285714285715,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.2857142857142857,0.14285714285714285,0.0
2004,10,10,The One Where Chandler Gets Caught,Gary Halvorson,8.0,2748,['Doty Abrams'],0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
2004,10,11,The One Where the Stripper Cries,Kevin Bright,9.0,3684,"['David Crane', 'Marta Kauffman']",0.07692307692307693,0.0,0.0,0.0,0.23076923076923078,0.3076923076923077,0.0,0.38461538461538464,0.0
2004,10,12,The One with Phoebe's Wedding,Kevin Bright,8.9,3161,"['Robert Carlock', 'Dana Klein Borkow']",0.25,0.08333333333333333,0.08333333333333333,0.0,0.0,0.4166666666666667,0.0,0.16666666666666666,0.0
2004,10,13,The One Where Joey Speaks French,Gary Halvorson,8.5,3044,"['Ellen Plummer', 'Sherry Bilsing']",0.15384615384615385,0.0,0.0,0.15384615384615385,0.07692307692307693,0.5384615384615384,0.07692307692307693,0.0,0.0
2004,10,14,The One with Princess Consuela,Gary Halvorson,8.6,2989,"['Robert Carlock', 'Tracy Reilly']",0.3076923076923077,0.07692307692307693,0.0,0.0,0.07692307692307693,0.46153846153846156,0.0,0.07692307692307693,0.0
2004,10,15,The One Where Estelle Dies,Gary Halvorson,8.5,2771,"['Andrew Reich', 'Ted Cohen']",0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.0
2004,10,16,The One with Rachel's Going Away Party,Gary Halvorson,8.9,3141,"['Andrew Reich', 'Ted Cohen']",0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.0,0.0
2004,10,17,The Last One: Part 1,Kevin Bright,9.5,6221,"['David Crane', 'Marta Kauffman']",0.1111111111111111,0.0,0.0,0.4444444444444444,0.0,0.4444444444444444,0.0,0.0,0.0
2004,10,18,The Last One: Part 2,Kevin Bright,9.7,10381,"['David Crane', 'Marta Kauffman']",0.0625,0.0,0.0,0.0,0.125,0.4375,0.0,0.0,0.375
