episode_number,title,writers,type,speaker,dialogue_raw,dialogue_clean,stage_direction_inline,scene_note_inline,stage_direction_only,scene_note_only,content,season,episode
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Phoebe,Ooh! Oh! (She starts to pluck at the air just in front of Ross.),Ooh! Oh!,(She starts to pluck at the air just in front of Ross.),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?","No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Phoebe,Fine!  Be murky!,Fine!  Be murky!,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,"I'll be fine, alright? Really, everyone. I hope she'll be very happy.","I'll be fine, alright? Really, everyone. I hope she'll be very happy.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,No you don't.,No you don't.,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,"No I don't, to hell with her, she left me!","No I don't, to hell with her, she left me!",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,And you never knew she was a lesbian...,And you never knew she was a lesbian...,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?","No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Chandler,Sometimes I wish I was a lesbian... (They all stare at him.) Did I say that out loud?,Sometimes I wish I was a lesbian...  Did I say that out loud?,(They all stare at him.),,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,"I told mom and dad last night, they seemed to take it pretty well.","I told mom and dad last night, they seemed to take it pretty well.",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Monica,"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what?  A wrong number?","Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what?  A wrong number?",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Ross,Sorry.,Sorry.,,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,dialogue,Joey,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?","Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",,,,,,01,01
S01E01,The One Where Monica Gets a New Roommate (The Pilot-The Uncut Version),Marta Kauffman & David Crane,stage_direction,,,,,,Ross gestures his consent.,,,01,01
